,Car Name,Trim Msrp,Engine Fuel Type,Engine Size,Engine Horsepower Hp,Engine Torque Ft Lbs,Engine Drive Type,Engine Transmission,Body Type,Body Doors,Body Seats,Mileage Fuel Tank Capacity,Mileage Combined Mpg,Mileage Epa City Mpg,Mileage Epa Highway Mpg,Mileage Range City,Mileage Range Highway
0,Alfa Romeo 4C Spider,67150,Unleaded,1.7,237.0,258.0,rear wheel drive,automatic,Coupe,2,2,39.7425,33.6,28.799999999999997,40.8,252.0,357.0
1,Alfa Romeo Giulia Base,41400,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
2,Alfa Romeo Giulia Base,39400,Unleaded,2.0,280.0,306.0,rear wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,39.6,367.2,504.9
3,Alfa Romeo Giulia Quadrifoglio,74500,Unleaded,2.9,505.0,443.0,rear wheel drive,automatic,Saloon,4,5,57.910500000000006,24.0,20.4,30.0,260.1,382.5
4,Alfa Romeo Giulia Sport,42850,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
5,Alfa Romeo Giulia Sport,40850,Unleaded,2.0,280.0,306.0,rear wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,39.6,367.2,504.9
6,Alfa Romeo Giulia Ti,41400,Unleaded,2.0,280.0,306.0,rear wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,39.6,367.2,504.9
7,Alfa Romeo Giulia Ti,43400,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
8,Alfa Romeo Giulia Ti Lusso,43900,Unleaded,2.0,280.0,306.0,rear wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,39.6,367.2,504.9
9,Alfa Romeo Giulia Ti Lusso,45900,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
10,Alfa Romeo Giulia Ti Sport,44400,Unleaded,2.0,280.0,306.0,rear wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,39.6,367.2,504.9
11,Alfa Romeo Giulia Ti Sport,46400,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
12,Alfa Romeo Giulia Ti Sport Carbon,48400,Unleaded,2.0,280.0,306.0,rear wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,39.6,367.2,504.9
13,Alfa Romeo Giulia Ti Sport Carbon,50400,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
14,Alfa Romeo Stelvio Base,41400,Unleaded,2.0,280.0,306.0,rear wheel drive,automatic,SUV,5,5,63.966499999999996,30.0,26.4,34.8,371.8,490.1
15,Alfa Romeo Stelvio Base,43400,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,SUV,5,5,63.966499999999996,28.799999999999997,26.4,33.6,371.8,473.2
16,Alfa Romeo Stelvio Quadrifoglio,80500,Unleaded,2.9,505.0,443.0,all wheel drive,automatic,SUV,5,5,63.966499999999996,22.8,20.4,27.599999999999998,287.3,388.7
17,Alfa Romeo Stelvio Sport,42850,Unleaded,2.0,280.0,306.0,rear wheel drive,automatic,SUV,5,5,63.966499999999996,30.0,26.4,34.8,371.8,490.1
18,Alfa Romeo Stelvio Sport,44850,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,SUV,5,5,63.966499999999996,28.799999999999997,26.4,33.6,371.8,473.2
19,Alfa Romeo Stelvio Ti,45800,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,SUV,5,5,63.966499999999996,28.799999999999997,26.4,33.6,371.8,473.2
20,Alfa Romeo Stelvio Ti Lusso,48300,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,SUV,5,5,63.966499999999996,28.799999999999997,26.4,33.6,371.8,473.2
21,Alfa Romeo Stelvio Ti Sport,48300,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,SUV,5,5,63.966499999999996,28.799999999999997,26.4,33.6,371.8,473.2
22,Alfa Romeo Stelvio Ti Sport Carbon,52300,Unleaded,2.0,280.0,306.0,all wheel drive,automatic,SUV,5,5,63.966499999999996,28.799999999999997,26.4,33.6,371.8,473.2
23,Aston Martin DB11 AMR,245900,Unleaded,5.2,630.0,516.0,rear wheel drive,automatic,Coupe,2,4,77.5925,20.4,18.0,25.2,307.5,430.5
24,Aston Martin DB11 V8,205600,Unleaded,4.0,503.0,513.0,rear wheel drive,automatic,Coupe,2,4,77.5925,24.0,21.599999999999998,28.799999999999997,369.0,492.0
25,Aston Martin DB11 V8 Volante,220900,Unleaded,4.0,503.0,513.0,rear wheel drive,automatic,Convertible,2,4,77.5925,24.0,21.599999999999998,28.799999999999997,369.0,492.0
26,Aston Martin Vantage AMR 59 Edition,204995,Unleaded,4.0,510.0,461.0,rear wheel drive,manual,Coupe,2,2,73.0505,20.4,16.8,25.2,270.2,405.3
27,Aston Martin Vantage AMR Hero,179995,Unleaded,4.0,510.0,461.0,rear wheel drive,manual,Coupe,2,2,73.0505,20.4,16.8,25.2,270.2,405.3
28,Aston Martin Vantage Base,152995,Unleaded,4.0,503.0,505.0,rear wheel drive,automatic,Coupe,2,2,73.0505,24.0,21.599999999999998,28.799999999999997,347.4,463.2
29,Audi A3 Premium Plus S line,39500,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,Saloon,4,5,54.8825,30.0,26.4,36.0,319.0,435.0
30,Audi A3 Premium S line,36500,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,Saloon,4,5,54.8825,30.0,26.4,36.0,319.0,435.0
31,Audi A3 Sport Premium,33300,Unleaded,2.0,184.0,221.0,front wheel drive,automatic,Saloon,4,5,49.961999999999996,36.0,32.4,43.199999999999996,356.4,475.2
32,Audi A3 Sport Premium Plus,36300,Unleaded,2.0,184.0,221.0,front wheel drive,automatic,Saloon,4,5,49.961999999999996,36.0,32.4,43.199999999999996,356.4,475.2
33,Audi A4 Premium,37400,Unleaded,2.0,188.0,236.0,front wheel drive,automatic,Saloon,4,5,57.910500000000006,36.0,32.4,42.0,413.1,535.5
34,Audi A4 Premium,40900,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
35,Audi A4 Premium Plus,44000,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
36,Audi A4 Premium Plus,41000,Unleaded,2.0,188.0,236.0,front wheel drive,automatic,Saloon,4,5,57.910500000000006,36.0,32.4,42.0,413.1,535.5
37,Audi A4 Prestige,46950,Unleaded,2.0,188.0,236.0,front wheel drive,automatic,Saloon,4,5,57.910500000000006,36.0,32.4,42.0,413.1,535.5
38,Audi A4 Prestige,49950,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
39,Audi A4 allroad Premium,44600,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Estate,5,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
40,Audi A4 allroad Premium Plus,47700,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Estate,5,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
41,Audi A4 allroad Prestige,53650,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Estate,5,5,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
42,Audi A5 Premium,49900,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Convertible,2,4,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
43,Audi A5 Premium,42900,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Coupe,2,4,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
44,Audi A5 Premium,42900,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Hatchback,5,5,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
45,Audi A5 Premium Plus,46700,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Hatchback,5,5,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
