,User,Requirements
0,1,"['SUV', 'Very long range', 'Very high power', 'Cheap', 'Economical', 'Unleaded', 'manual', 'Small Engine']"
1,2,"['Very long range', 'manual', 'Convertible', 'Diesel', '2-doored', 'Expensive', '9-seater', 'Economical', 'High power', 'Average Sized Engine']"
2,3,"['Average range', 'Coupe', 'Economical', 'Small Engine', '3-doored']"
3,4,"['automatic', 'Coupe', 'Cheap', 'Unleaded', '2-doored', 'Very high power', 'Economical', 'Small Engine']"
4,5,"['Larger Engine', '5-doored', 'manual', 'Diesel', 'High power', 'Economical', 'Average Priced', '9-seater', 'Very long range']"
5,6,"['Short range', 'Unleaded', 'Economical', '7-seater', 'manual', 'Lower power', '5-doored', 'SUV', 'Average Sized Engine']"
6,7,"['Hatchback', 'Cheap', 'Short range', 'Average Sized Engine', 'Unleaded', 'automatic', '2-doored', '5-seater', 'Economical', 'Very high power']"
7,8,"['6-seater', 'Long range', 'Average power', '2-doored', 'Diesel']"
8,9,"['Very high power', '5-doored', '5-seater', 'Diesel', 'manual']"
9,10,"['2-doored', 'Unleaded', 'Very high power', 'Van', 'Cheap', 'manual', 'Very long range', 'Economical']"
10,11,"['Average Priced', 'Economical', 'High power', 'Larger Engine', 'Unleaded', 'Very long range', '2-seater', '3-doored', 'Minivan']"
11,12,"['manual', 'Expensive', 'High power', 'Economical', 'Larger Engine', 'Short range', '7-seater']"
12,13,"['High power', '7-seater']"
13,14,"['Larger Engine', 'Long range', 'Unleaded', '4-seater']"
14,15,"['7-seater', 'Economical', '4-doored', 'Diesel', 'Expensive', 'automatic', 'Small Engine', 'Average power', 'Short range']"
15,16,"['Diesel', 'Economical', 'High power']"
16,17,"['automatic', 'Average range', 'Small Engine']"
17,18,"['Very high power', 'Convertible', 'Diesel', 'manual', 'Small Engine', '6-seater', 'Economical', '4-doored', 'Short range', 'Average Priced']"
18,19,"['Passenger Van', 'Cheap', 'Economical', 'manual', 'High power', 'Small Engine', 'Unleaded', 'Long range', '6-seater']"
19,20,"['5-doored', '5-seater', 'Minivan', 'Average Priced']"
20,21,"['Economical', 'Minivan', '5-doored', 'Small Engine', 'Very high power', 'manual', 'Average range', '4-seater', 'Expensive']"
21,22,"['High power', 'Coupe', '3-seater', 'Average Priced', 'Small Engine']"
22,23,"['Economical', 'Very long range', '7-seater', 'Coupe', 'Larger Engine']"
23,24,"['Larger Engine', '6-seater', '3-doored', 'Unleaded', 'Expensive', 'Estate', 'Very high power', 'manual']"
