Make Id,Make Name,Model Id,Model Name,Trim Id,Trim Year,Trim Name,Trim Description,Trim Msrp,Trim Invoice,Trim Created,Trim Modified,Engine Id,Engine Type,Engine Fuel Type,Engine Cylinders,Engine Size,Engine Horsepower Hp,Engine Horsepower Rpm,Engine Torque Ft Lbs,Engine Torque Rpm,Engine Valves,Engine Valve Timing,Engine Cam Type,Engine Drive Type,Engine Transmission,Body Id,Body Type,Body Doors,Body Seats,Body Length,Body Width,Body Height,Body Wheel Base,Body Front Track,Body Rear Track,Body Ground Clearance,Body Cargo Capacity,Body Max Cargo Capacity,Body Curb Weight,Body Gross Weight,Body Max Payload,Body Max Towing Capacity,Mileage Id,Mileage Fuel Tank Capacity,Mileage Combined Mpg,Mileage Epa City Mpg,Mileage Epa Highway Mpg,Mileage Range City,Mileage Range Highway,Mileage Epa Combined Mpg Electric,Mileage Epa City Mpg Electric,Mileage Epa Highway Mpg Electric,Mileage Range Electric,Mileage Epa Kwh 100 Mi Electric,Mileage Epa Time To Charge Hr 240v Electric,Mileage Battery Capacity Electric
24,Alfa Romeo,422,4C,6334,2020,Spider,Spider 2dr Coupe (1.7L 4cyl Turbo 6AM),67150,64646,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6334,gas,premium unleaded (required),I4,1.7,237,6000,258,2200,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automated manual,6334,Coupe,2,2,157,73.5,46.7,93.7,,,4.4,3.7,3.7,2487,2840,,,6334,10.5,28,24,34,2520,3570,,,,,,,
24,Alfa Romeo,101,Giulia,6336,2020,Base,4dr Sedan AWD (2.0L 4cyl Turbo 8A),41400,39303,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6336,gas,premium unleaded (required),I4,2,280,5200,306,2000,16,Variable,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,6336,Sedan,4,5,182.8,73.2,56.5,111,,,,,,3622,4723,,905,6336,15.3,26,23,31,3519,4743,,,,,,,
24,Alfa Romeo,101,Giulia,6335,2020,Base,4dr Sedan (2.0L 4cyl Turbo 8A),39400,37463,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6335,gas,premium unleaded (required),I4,2,280,5200,306,2000,16,Variable,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,6335,Sedan,4,5,182.8,73.2,56.5,111,,,,,,3522,4612,,905,6335,15.3,27,24,33,3672,5049,,,,,,,
24,Alfa Romeo,101,Giulia,6347,2020,Quadrifoglio,Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),74500,69755,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6347,gas,premium unleaded (required),V6,2.9,505,6500,443,2500,24,Variable,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic,6347,Sedan,4,5,182.6,73.8,56.1,111,,,,,,3820,4774,,905,6347,15.3,20,17,25,2601,3825,,,,,,,
24,Alfa Romeo,101,Giulia,6338,2020,Sport,Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),42850,40623,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6338,gas,premium unleaded (required),I4,2,280,5200,306,2000,16,Variable,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,6338,Sedan,4,5,182.8,73.2,56.5,111,,,,,,3622,4723,,905,6338,15.3,26,23,31,3519,4743,,,,,,,
24,Alfa Romeo,101,Giulia,6337,2020,Sport,Sport 4dr Sedan (2.0L 4cyl Turbo 8A),40850,38783,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6337,gas,premium unleaded (required),I4,2,280,5200,306,2000,16,Variable,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,6337,Sedan,4,5,182.8,73.2,56.5,111,,,,,,3522,4612,,905,6337,15.3,27,24,33,3672,5049,,,,,,,
24,Alfa Romeo,101,Giulia,6339,2020,Ti,Ti 4dr Sedan (2.0L 4cyl Turbo 8A),41400,39303,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6339,gas,premium unleaded (required),I4,2,280,5200,306,2000,16,Variable,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,6339,Sedan,4,5,182.8,73.2,56.5,111,,,,,,3522,4612,,905,6339,15.3,27,24,33,3672,5049,,,,,,,
24,Alfa Romeo,101,Giulia,6340,2020,Ti,Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),43400,41143,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6340,gas,premium unleaded (required),I4,2,280,5200,306,2000,16,Variable,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,6340,Sedan,4,5,182.8,73.2,56.5,111,,,,,,3622,4723,,905,6340,15.3,26,23,31,3519,4743,,,,,,,
24,Alfa Romeo,101,Giulia,6341,2020,Ti Lusso,Ti Lusso 4dr Sedan (2.0L 4cyl Turbo 8A),43900,41578,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6341,gas,premium unleaded (required),I4,2,280,5200,306,2000,16,Variable,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,6341,Sedan,4,5,182.8,73.2,56.5,111,,,,,,3522,4612,,905,6341,15.3,27,24,33,3672,5049,,,,,,,
24,Alfa Romeo,101,Giulia,6342,2020,Ti Lusso,Ti Lusso 4dr Sedan AWD (2.0L 4cyl Turbo 8A),45900,43418,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6342,gas,premium unleaded (required),I4,2,280,5200,306,2000,16,Variable,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,6342,Sedan,4,5,182.8,73.2,56.5,111,,,,,,3622,4723,,905,6342,15.3,26,23,31,3519,4743,,,,,,,
